s.no,age,division_name,department_name,class_name,clothing_id,title,review_text,alike_feedback_count,rating,recommend_index 
17367,53,General,Tops,Blouses,829,Great spring tunic!,"I had been eyeing this top online, decided to hit my local retailer to try it on! it is an adorable spring tunic!
i think it runs a size larger then your usual size. for reference, i am 5'7"" and 139 pds, small busted, and i bought a size 6, fits perfect. i will machine wash and hang to dry. happy with my purchase!",5,5,1
15539,26,General,Dresses,Dresses,1081,True love,"I saw this in the retailer catalogue and knew i had to own this dress. everything about it speaks to me on a cellular level. the colour, the shape, the drape, the hem, !!!! and the little side stripes. be still my heart. i went into my local store and picked up the dress in xl and l to try on. i'm.... currently a new body shape because of too many burgers, a sports injury, and not enough cardio, so i figured i should size up for a moment. uh no. the xl was like a tent. fabric everywhere. i pulled",7,5,1
5150,58,General,Tops,Blouses,829,Adorable,Cute top. fits short but roomy. will get a lot of use in my wardrobe.,1,5,1
1524,27,General,Tops,Knits,872,In love with this shirt,"I love this shirt so much that i've now bought it in 2 colors -- the olive green and the red. probably would have bought it in black too if i didn't already have enough black shirts. it's both a plain and simple tee, but with the fun lace-up detail at the neckline that keeps it from being boring.

it runs true to size but is very fitted. however, due to the thickness of the material, i didn't feel like any unflattering bumps or lumps were being highlighted, despite how close the shirt fit to my",2,5,1
18122,38,General Petite,Dresses,Dresses,1078,So disappointed!,The armholes on this dress are totally bizarre. i can't believe no one else has commented on them yet. i am a size s on top and m on the bottom so i usually try on both in dresses. i tend to be a small/ size 6 in retailer. the armholes are so long that the dress doesn't lay right on top. i showed it to on of the clerks in the store and she agreed with me. we looked at all the others and they were the same. going up a size made it way worse. this dress might work for someone with really broad shoul,6,1,0
11704,32,General,Tops,Knits,865,"Cute, but clumsy","The design is cute, but there is way too much fabric in the lower part of the shirt. also, the fabric for the lower part crumples easily. unless you carry around an iron, you may not want to wear it outside the house. i kept the shirt to wear around the house.",0,3,0
1760,44,General,Dresses,Dresses,1077,,"Tried the blue motif, size 6, regular.
i'm 5'6"" and if i were shorter i'd go with petite sizing.
stats: 34a-28-36 with broad shoulders, sometimes i go up to a size 8 in blazers but this was a perfect fit. side pockets, dress is unlined and quite lightweight. the tie has to be tied in back and i liked the clean lines this gives in front. nice and simple for when it warms up!",12,4,1
22260,45,General,Bottoms,Jeans,1022,Sadly disappointed,"I wanted to love these jeans, but as a woman who is almost 45 there was way too much stretch in them. i am always a size 26 and i couldn't wear these, they were way too tight! they went back the next day. i will say, it could be my body type, i""m a runner so my legs are muscular. if you have very thin legs, these could be great and work for you. i loved the color, dark blue.",6,2,0
2209,60,General Petite,Dresses,Dresses,1081,Another dolan classic,"I own another dolan dress which is virtually the same as this but has long sleeves. i wear the long-sleeved one whenever i give presentations or readings. the material is absolutely genius for travel. just unpack, shake it out and you're good to go.
i love the sleeves on this short-sleeved version. i'm fairly fit but at my age i'm not excited about showing off my arms! the drape is beautiful and i can wear high heels, bootees or flats with it. i bought the red. sometimes you can't tell if the c",0,5,1
11256,44,General Petite,Bottoms,Skirts,1020,Skirt dimensions are off,"I loved this skirt on but just the other reviewers, it runs small in the waist throwing off the dimension of the skirt. i ended up getting the 0 despite the fact that it was tighter in the waist because the 2 at this length (with my height) and amount of material became overwhelming on me. it would have looked better in a slightly shorter cut as another reviewer stated as well.",1,4,1
21565,45,General,Tops,Knits,861,T.la's cutest tee. ever!,"Every spring/summer i look forward to t.la's tanks & tees and stock up on them. sometimes it is difficult to determine the color online, but this top (i bought it in green) is without a doubt the same color in person as it is online. the color is a gorgeous sea green and the softest cotton tee (just keeps getting softer wash after wash) and the silver buttons on the side (what a unique twist to an everyday tee). now all i need is the blue one.",5,5,1
17326,48,General,Dresses,Dresses,1094,Comfortable but not exciting,"This is a comfortable sweater dress, and the quality of the material seems good. the solid blue strip down the front makes it look very bland. i think it would need some dressing up with a necklace or scarf. i decided to pass.",0,3,0
18346,48,General,Bottoms,Skirts,1021,Simply beautiful,"I purchased this skirt on a whim as an option for the up and coming hoiday party season and was plesantly surprised. it is very well made,a medium weight taffita material, and best of all, it has pockets! i just love the combination of colors in the skirt; navy blue, grey, and ecru stripe. i paired the skirt with a taylored white dress shirt and statement necklace for a classic look but also imagine it combined with a dressy t-shirt cut as well. buy it while you can!",0,5,1
18602,23,General,Tops,Sweaters,949,Perfect in all respects,"True to size for petite person; bought in blue - subtle shading, looks great; paired with your blue straight leg blue ""jeans""; perfect outfit for almost all occasions.",0,5,1
13778,43,General Petite,Bottoms,Skirts,1008,Gorgeous!,"I love this skirt!! it slips seamlessly from day to night, and looks great on those of us who happen to be on the taller side. it's super warm, so it's perfect with tights and boots on those colder winter evenings out.",0,5,1
4324,32,General,Tops,Knits,872,Love it,This shirt feels amazing. it also drapes nicely and is very feminine and flattering. great versatile piece.,0,5,1
9142,65,General,Tops,Knits,876,Size down!,"I'm normally an xl, but i bought a l since so many said it was big and boxy. the l fit great. it's tailored to the body, but not tight-fitting, just as shown on the model.

the detailing at the shoulders is heavy, compared to the light knit of the fabric of this tee. so, it pulls the neckline forward a bit. 

i bought the red and wow! it's a bright, fireengine red that's just stunning. it looks lighter in the photo. it arrived all squished up in a little tiny roll so it was really wrinkled.",0,4,1
918,65,General,Tops,Knits,854,Comfortable and versatile,"The color is perfect for fall.  dressy enough for work, and looks great with a pair of jeans.",1,5,1
5369,34,General,Dresses,Dresses,1078,My new favorite dress,"This dress fits me perfect. the only complaint i have is that it was a little snug around the neck every now and then. it was a little snug getting in and out of the dress too. overall, the design is beautiful and it is definitely my new favorite.",2,5,1
19017,26,General,Tops,Blouses,835,High hopes,"I really wanted to love this. sadly, the first thing i noticed was how tight it was in the arms and across the back (size up maybe even two sizes). secondly, it's see through! a top like this looses it's finesse to me once i can see my pant line and bra. it's very difficult to do the three buttons in the back yourself and finally, good luck taking it off without getting make up all over the neckline. someone dubbed it the ""poor man's pineapple top."" i couldn't agree more, sigh. i really did want",7,3,0
10051,45,General,Dresses,Dresses,1081,Sized down - fits perfectly,"I most often fit into a size medium. based on prior reviews, i ordered this dress in a small and it fits perfectly. it drapes nicely. the fabric is soft and flows well. the under layer has a nice little stretch to it. the dress looks good with and without the belt. my favorite and most-slimming look is to just tie cinch and tie it in the back, such that it does not wrap around the front at all. the dress is so comfortable and the neckline is very flattering. no bra needed for my small bust.",0,5,1
12460,36,General,Dresses,Dresses,1072,"So cute, but so big!","The design of this dress is darling and so unique, and it's very well made. but i agree it's very boxy and overwhelming for a petite frame. i'm 5'3"" and ordered the 2, and it was like wearing a hospital gown. if a petite were available i'd have tried that, but this one's going back. shame, too, because it's adorable. the gap in the neckline could easily be stitched or sewn shut, but that's an inconvenience when this dress is already priced so high.",3,3,1
9856,48,General Petite,Dresses,Dresses,1086,Wanted to love this dress,"After trying several sizes, including petite and regular, i am sad to return this dress. the regular sizes were too long on me (i am 5'4"") and although the petite fit me just a little short, the biggest issue was how tent like it fit me. i wanted it to look like it does on the model but i just couldn't get the fit. usually i have great luck with cloth & stone.",5,2,0
19208,42,General Petite,Dresses,Dresses,1081,Super comfortable and flattering,"I have had this dress for a few months now and find it is super comfortable for the hot weather and can go dressy or casual with the right accessories. it does run large in xxs; the xxs petite fit a little better by was way too short for me. even better is that you can wash on the super gentle cycle and lay flat to dry. yes it says dry clean only, but its is made of cupro and you should be able to wash that material. i have washed mine several times and it has never shrunk or lost shape. the she",0,5,1
14104,32,General,Tops,Knits,862,,"I find myself gravitating towards comfortable items currently. this one caught my eye because of its length (tunic) and because, unlike many of the items right now, it actually appeared fitted. only after that did i notice the pretty detail on the sleeves.the price point is too high for a casual item such as this, but the sleeves do make up for it.
the cut is really great for my straight and slender body type. perfect! a great weight for those in-between temperatures that we'll be feeling as we",11,4,1
340,62,General,Dresses,Dresses,1082,So disappointed!,"I was a huge fan of these lovely swing dresses from last year and bought all 3 colors. when i saw this new one, i was thrilled and ordered it immediately. what a disappointment! why did isabella sinclair mess with a good thing? the fabric is a very loose weave sort of ""homespun"" look, which wouldn't be a deal breaker, but i could see it would be very vulnerable to snags. last year's styles had a removable light knit full slip that allowed the airy fabrics to move. this version is fully lined. yo",14,2,0
10654,35,General Petite,Dresses,Dresses,1094,Flattering cut,This dress has become a favorite in my rotation. the cut and print flatter my body and accentuate my waist. the print is subtle enough to pair with bold accessories.,0,5,1
20097,33,General Petite,Tops,Blouses,836,Flowy perfection!,"I have to admit, seeing these tops online, i wouldn't give them a second glance, but at my local store they were displayed in a gorgeous summery fashion and were so light and airy and flowy (my summer checklist!) i bought both the blue and rust color in an xl. i am a 16/xl/36h and this is one of the few button up shirts that actually fit! i think i might go in and add a snap between the bust line anyway since the buttons are spaced too generously, but there is no pulling. this top does run long,",7,5,1
17761,27,General,Tops,Blouses,844,Great length,"I am tall (5'11 and 3/4) and mostly leg with a shorter torso so i am always looking for longer shirts to balance my leg to torso ratio. i ordered this in the tan and blue colors in a large and so far have loved both of them. i am typically a medium in tops but tend to get the large for the extra length and have the top altered to fit if need be. however there was no need to alter these tops (making me think the tops typically run small). 

both tops are sheer requiring a tank of some sort to b",0,4,1
14364,59,General,Tops,Sweaters,949,Returning,This runs large. i usually wear a m so i ordered the m/l. reordering in next size down and hope that helps. i gave it 5 stars because the knit is beautiful and quality looked great.,0,5,1
9313,29,General,Tops,Knits,872,Love this shirt!,"Great fit, very soft fabric, and the sleeves are long enough!! great length in the body too.",0,5,1
6420,45,General,Tops,Knits,872,"Nice top, but runs small","I like the fabric and aesthetic of this top, and really wanted to like it, however i wish it were longer. i am a size small or med in all retailer clothes, but even the medium felt short and clingy. however that might be because i'm curvy with a long torso, so i'd definitely recommend trying this on rather than buying online!",6,3,0
20803,33,General Petite,Dresses,Dresses,1095,Burlap maternity dress?,No. this is one of the most unflattering things i've ever put on my body. i'm a very well-proportioned hourglass - i tend to wear a small despite a booty and 36d chest - this made me look huge. don't do it.,1,1,0
18965,41,General Petite,Jackets,Outerwear,1131,,What a let down. this is not what i would call a coat but a sweater. it is unlined and very lightweight. the fit was cute and would have been so great if it was actually a coat.,1,3,0
2715,30,General,Dresses,Dresses,1077,,Comfortable fabric and beautiful print! light enough for the summer but is also great for fall.,1,4,1
8121,66,General,Dresses,Dresses,1082,There's a reason the model is sitting down!,"The dress is really frumpy standing up. something about the bottom tier of lace just turns it into a frumpy maw-maw nightgown. the lace is really pretty, though",8,2,0
19409,42,General,Tops,Knits,862,Print ?,The print doesn't necessarily works for everybody.,0,1,0
16096,38,General Petite,Tops,Blouses,829,"Love, but difficult fit","In maeve i run between a size 2-4.  my regular size 4 was too tight in the shoulders, the fabric didn't drop off the shoulders like it does on the model.  it also felt too tight near the back were the button is, almost as if there was not enough fabric.  the sleeves were also too short and tight around the arms.  sized up to a 6 and all those issues were fixed.  since this top is billowy anyway the size up really didn't mess with the shape of the top.  love the gold color, so pretty!",0,4,1
428,44,General Petite,Tops,Blouses,850,Recommend but with a caveat...,"I tried the 4 and felt it ran a bit big, i'm 34a-28-26, 5'6"" about 130lbs and expected to take a 6. the 4 was ideal.
love the concept but thought the material was too stiff to be a 'swing' tank. the pleats in the back poke up when you move or bend as if you've got little horns coming out of your back. i think a chambray, like cloth and stone produces might have rendered this super cute design better (imo).
it has a trapeze shape, i wouldn't plan on tucking it in.
finally, you mightn't want to",2,4,1
12209,38,General,Tops,Fine gauge,896,Unique blouse; comfortable fit,"I'm an xl in retailer tops, and the xl fits nicely in this blouse. if you are athletic or slender or have a petite bust, you can probably size down.
.
this is a nice lightweight sweater. i would not say that it is too thin or anything like that; its just lightweight for being categorized as a sweater. i absolutely love the pattern placement of this sweater, it makes the sweater so unique and figure flattering. honestly, i'm not crazy about kimono/bell sleeves because i feel they are at best impr",4,4,1
7869,48,General Petite,Dresses,Dresses,1086,Too small,"I ordered a large and despite wearing a large in many other items from antrhopologie, this item was too small, especailly across the bust. it was very well-made and the color green is beautiful, but unfortunately, i will not be able to wear it. so disappointed.",0,2,0
9267,49,General,Dresses,Dresses,1105,Very versatile,I was on the fence about this jumpsuit at first.  i feel the pockets in the back are a little high on my bum.  kind of an unnatural placement.  i sized up so it wasn't so tight fitting at the waist and hips so it made the placement of the back pockets a little better.,0,4,1
14716,45,General,Tops,Blouses,833,Pretty but,"Ok, received this in the mail yesterday and tried on this morning, i ordered the size 2 snd it is really big. i notice that the armhole sag and there is a lot of extra room everywhere. i am a 32d on the top so that is why i ordered the size 2, but i will return this and order the size 0 and i hope that will take care of the sagging arm area",15,4,1
16675,35,General Petite,Tops,Knits,867,One of the best fits for an retailer shirt,"I love retailer clothes, but i've often ordered shirts in an xs that i really needed an xs petite in because of the length and fit through the bust, but they didn't have any petites in the size i needed. i'm at 5'1"", 114 pounds. i got this shirt in xs (not petite) and am thrilled with the fit. the material is formfitting enough to look like a petite, and it doesn't drop below my waist line. i'm thrilled with my purchase!",1,5,1
316,48,General,Bottoms,Skirts,993,Beautiful skirt!,"This skirt has a beautiful style, cut and pattern. i am so surprised it is on sale - what a great price. it has a medium sweater knit that is not clingy and has a slight flair. looks great with boots!",0,5,1
13761,42,General Petite,Tops,Sweaters,936,Great fall sweater,"Tried it on in store and had to have it. so soft and easy to throw on. i'm 5'6"" and it hits at the knee. i usually wear an xs or small in tops and the xs fit great.",27,5,1
17172,48,General,Tops,Blouses,836,Wanted to love it,"An absolutely gorgeous, but poorly fitting blouse. the bottom part is way too billowy and inconsistent with the fitted top half. got it on sale and still returned it.",0,2,0
15717,33,General Petite,Jackets,Jackets,974,Simply amazing!,"This jacket is extremely good quality, has gorgeous detailing and is warm! quilting makes it thicker than expected, but plan to wear as both a blazer and fall jacket. highly recommend.",1,5,1
